"","Month","Year","Start.Date","Trade.Type","Trades","X..of.Total","Par.Value","X..of.Total.1"
"192","January","2008",2008-01-01,"New Issue Trades",74227,0.118740591791323,30199433988,0.188422497590218
"193","July","2008",2008-07-01,"Other Bond Trades",578501,0.784397499694919,106073774617,0.672930235030571
"194","July","2008",2008-07-01,"New Issue Trades",159009,0.215602500305081,51555900935,0.327069764969429
"195","June","2008",2008-06-01,"Other Bond Trades",569474,0.751885079780035,117448727635,0.686661404805383
"196","June","2008",2008-06-01,"New Issue Trades",187921,0.248114920219964,53594419414,0.313338595194617
"197","March","2008",2008-03-01,"Other Bond Trades",756233,0.865254158748102,200109021978,0.788342099004521
"198","March","2008",2008-03-01,"New Issue Trades",117768,0.134745841251898,53726238413,0.211657900995479
"199","May","2008",2008-05-01,"Other Bond Trades",562572,0.798713136120213,112447752550,0.691266929652346
"200","May","2008",2008-05-01,"New Issue Trades",141776,0.201286863879787,50221323210,0.308733070347654
"201","November","2008",2008-11-01,"Other Bond Trades",606350,0.826899919676086,97532977504,0.761791522265657
"202","November","2008",2008-11-01,"New Issue Trades",126931,0.173100080323914,30498084346,0.238208477734343
"203","October","2008",2008-10-01,"Other Bond Trades",929335,0.902225820763519,184662915783,0.880313937770692
"204","October","2008",2008-10-01,"New Issue Trades",100712,0.0977741792364814,25106472000,0.119686062229308
"205","September","2008",2008-09-01,"Other Bond Trades",612886,0.818005883263663,140994200577,0.829147122658919
"206","September","2008",2008-09-01,"New Issue Trades",136358,0.181994116736337,29053064527,0.170852877341081
"207","April","2009",2009-04-01,"Other Bond Trades",628795,0.790935117144359,94284232705,0.617879780019678
"208","April","2009",2009-04-01,"New Issue Trades",166207,0.209064882855641,58308934694,0.382120219980322
"209","August","2009",2009-08-01,"Other Bond Trades",635963,0.774917294698941,91862385555,0.620940568645792
"210","August","2009",2009-08-01,"New Issue Trades",184722,0.225082705301059,56078319552,0.379059431354208
"211","December","2009",2009-12-01,"Other Bond Trades",614318,0.77411070605447,85843265656,0.625892935171715
"212","December","2009",2009-12-01,"New Issue Trades",179261,0.22588929394553,51310009021,0.374107064828285
"213","February","2009",2009-02-01,"Other Bond Trades",605755,0.834569850474423,94456005799,0.748884733308621
"214","February","2009",2009-02-01,"New Issue Trades",120074,0.165430149525577,31672891744,0.251115266691379
"215","January","2009",2009-01-01,"Other Bond Trades",706825,0.860526158802124,115991350630,0.775090911707296
"216","January","2009",2009-01-01,"New Issue Trades",114562,0.139473841197876,33657353642,0.224909088292704
"217","July","2009",2009-07-01,"Other Bond Trades",687540,0.791841341502741,103367037589,0.700267562527931
"218","July","2009",2009-07-01,"New Issue Trades",180740,0.208158658497259,44243737378,0.299732437472069
"219","June","2009",2009-06-01,"Other Bond Trades",713868,0.761859023615593,99868911548,0.618519737621824
"220","June","2009",2009-06-01,"New Issue Trades",223140,0.238140976384407,61595477498,0.381480262378176
"221","March","2009",2009-03-01,"Other Bond Trades",684389,0.762447625445483,94687000580,0.630551722543299
"222","March","2009",2009-03-01,"New Issue Trades",213232,0.237552374554517,55478318449,0.369448277456701
"223","May","2009",2009-05-01,"Other Bond Trades",577806,0.779631561122453,95829152465,0.670418529400449
"224","May","2009",2009-05-01,"New Issue Trades",163321,0.220368438877547,47110143307,0.329581470599551
"225","November","2009",2009-11-01,"Other Bond Trades",576253,0.744470598570624,76118826286,0.576601669105346
"226","November","2009",2009-11-01,"New Issue Trades",197791,0.255529401429376,55894017874,0.423398330894653
"227","October","2009",2009-10-01,"Other Bond Trades",623998,0.750039064659825,80853779062,0.537236308762718
"228","October","2009",2009-10-01,"New Issue Trades",207956,0.249960935340175,69645689688,0.462763691237282
"229","September","2009",2009-09-01,"Other Bond Trades",643757,0.824000522234652,108445143769,0.717769552345689
"230","September","2009",2009-09-01,"New Issue Trades",137501,0.175999477765348,42641153239,0.282230447654311
"231","August","2010",2010-08-01,"Other Bond Trades",674579,0.794327903019741,100434907861,0.66306380839397
"232","August","2010",2010-08-01,"New Issue Trades",174666,0.205672096980259,51036046502,0.33693619160603
"233","December","2010",2010-12-01,"Other Bond Trades",803130,0.813126578151798,108900777165,0.670468165309309
"234","December","2010",2010-12-01,"New Issue Trades",184576,0.186873421848202,53524201081,0.329531834690691
"235","July","2010",2010-07-01,"Other Bond Trades",649139,0.777139279270867,87075778991,0.642903142589222
"236","July","2010",2010-07-01,"New Issue Trades",186154,0.222860720729133,48365741236,0.357096857410778
"237","November","2010",2010-11-01,"Other Bond Trades",679209,0.783110540260711,95189859766,0.612663508763402
"238","November","2010",2010-11-01,"New Issue Trades",188113,0.216889459739289,60180679534,0.387336491236598
"239","October","2010",2010-10-01,"Other Bond Trades",594365,0.774731877975151,77646829703,0.53363619349306
"240","October","2010",2010-10-01,"New Issue Trades",172823,0.225268122024849,67858349012,0.46636380650694
"241","September","2010",2010-09-01,"Other Bond Trades",636821,0.825713755953099,92349466074,0.664616606109502
"242","September","2010",2010-09-01,"New Issue Trades",134416,0.174286244046901,46602021483,0.335383393890498
"243","April","2010",2010-04-01,"Other Bond Trades",656076,0.810594828608706,95836094299,0.664922169909717
"244","April","2010",2010-04-01,"New Issue Trades",153300,0.189405171391294,48295202018,0.335077830090283
"245","February","2010",2010-02-01,"Other Bond Trades",615933,0.806605719404252,81681860425,0.667493471482823
"246","February","2010",2010-02-01,"New Issue Trades",147678,0.193394280595748,40689164783,0.332506528517177
"247","January","2010",2010-01-01,"Other Bond Trades",634238,0.816707636956446,88889362750,0.639611380997406
"248","January","2010",2010-01-01,"New Issue Trades",142341,0.183292363043554,50084653959,0.360388619002595
"249","June","2010",2010-06-01,"Other Bond Trades",706929,0.771443256668689,87526881643,0.628437200588879
"250","June","2010",2010-06-01,"New Issue Trades",209443,0.228556743331311,51750171913,0.371562799411121
"251","March","2010",2010-03-01,"Other Bond Trades",724854,0.807909522657789,98936150396,0.613646645636802
"252","March","2010",2010-03-01,"New Issue Trades",172343,0.192090477342211,62290430242,0.386353354363198
"253","May","2010",2010-05-01,"Other Bond Trades",626963,0.801606632120113,89177992204,0.631993938155476
"254","May","2010",2010-05-01,"New Issue Trades",155170,0.198393367879887,51927779260,0.368006061844524
"255","April","2011",2011-04-01,"Other Bond Trades",697200,0.881740311543185,97112200768,0.807754461346111
"256","April","2011",2011-04-01,"New Issue Trades",93509,0.118259688456815,23112701000,0.192245538653889
"257","August","2011",2011-08-01,"Other Bond Trades",753134,0.884719166326978,107302986943,0.769060293983759
"258","August","2011",2011-08-01,"New Issue Trades",98135,0.115280833673022,32221817266,0.230939706016241
"259","December","2011",2011-12-01,"Other Bond Trades",608859,0.79363769674455,85002924264,0.655156666430284
"260","December","2011",2011-12-01,"New Issue Trades",158316,0.20636230325545,44741499657,0.344843333569716
"261","February","2011",2011-02-01,"Other Bond Trades",811818,0.916223500306981,121998933009,0.834180228763382
"262","February","2011",2011-02-01,"New Issue Trades",74230,0.0837764996930189,24251156363,0.165819771236618
"263","January","2011",2011-01-01,"Other Bond Trades",932793,0.926894245024663,135842442928,0.864281830912226
"264","January","2011",2011-01-01,"New Issue Trades",73571,0.073105754975337,21331337741,0.135718169087774
"265","July","2011",2011-07-01,"Other Bond Trades",550892,0.881259408208677,130075662533,0.811577502409783
"266","July","2011",2011-07-01,"New Issue Trades",74227,0.118740591791323,30199433988,0.188422497590218
"267","June","2011",2011-06-01,"Other Bond Trades",733228,0.849354262884335,101762410207,0.718327956569428
"268","June","2011",2011-06-01,"New Issue Trades",130049,0.150645737115665,39903258345,0.281672043430572
"269","March","2011",2011-03-01,"Other Bond Trades",850063,0.886206950475128,114576436037,0.810600076404065
"270","March","2011",2011-03-01,"New Issue Trades",109152,0.113793049524872,26771238818,0.189399923595935
"271","May","2011",2011-05-01,"Other Bond Trades",737580,0.883545201462393,105672511668,0.784844249888129
"272","May","2011",2011-05-01,"New Issue Trades",97216,0.116454798537607,28968866775,0.215155750111871
"273","November","2011",2011-11-01,"Other Bond Trades",616994,0.781497703615697,88820880799,0.625046147189563
"274","November","2011",2011-11-01,"New Issue Trades",172508,0.218502296384303,53282036239,0.374953852810437
"275","October","2011",2011-10-01,"Other Bond Trades",611954,0.79503145936915,81996378732,0.608174568808284
"276","October","2011",2011-10-01,"New Issue Trades",157769,0.20496854063085,52827375725,0.391825431191715
"277","September","2011",2011-09-01,"Other Bond Trades",643863,0.855464779637732,93940401133,0.721372803602252
"278","September","2011",2011-09-01,"New Issue Trades",108784,0.144535220362268,36284082884,0.278627196397748
"279","April","2012",2012-04-01,"Other Bond Trades",607005,0.807548319461887,81037169229,0.606652742881571
"280","April","2012",2012-04-01,"New Issue Trades",144659,0.192451680538113,52543648100,0.393347257118429
"281","August","2012",2012-08-01,"Other Bond Trades",669061,0.820560211241263,91538014777,0.655007565198698
"282","August","2012",2012-08-01,"New Issue Trades",146310,0.179439788758737,48213065425,0.344992434801302
"283","December","2012",2012-12-01,"Other Bond Trades",728892,0.880686191235089,100557925369,0.731134876178697
"284","December","2012",2012-12-01,"New Issue Trades",98749,0.119313808764911,36978839249,0.268865123821303
"285","February","2012",2012-02-01,"Other Bond Trades",633843,0.854047083932931,88666257054,0.68562670675521
"286","February","2012",2012-02-01,"New Issue Trades",108321,0.145952916067069,40655218000,0.31437329324479
"287","January","2012",2012-01-01,"Other Bond Trades",686624,0.880181106379488,122127202375,0.802398840274654
"288","January","2012",2012-01-01,"New Issue Trades",93470,0.119818893620512,30075413388,0.197601159725346
"289","July","2012",2012-07-01,"Other Bond Trades",653087,0.818368868533335,94964057739,0.644031328546244
"290","July","2012",2012-07-01,"New Issue Trades",144948,0.181631131466665,52488486151,0.355968671453756
"291","June","2012",2012-06-01,"Other Bond Trades",658746,0.756876559720939,85584659749,0.571930206662003
"292","June","2012",2012-06-01,"New Issue Trades",211602,0.243123440279061,64057130022,0.428069793337997
"293","March","2012",2012-03-01,"Other Bond Trades",657576,0.800984213603586,92031097294,0.632873891287404
"294","March","2012",2012-03-01,"New Issue Trades",163384,0.199015786396414,53386652689,0.367126108712596
"295","May","2012",2012-05-01,"Other Bond Trades",671766,0.817862395418375,101418689923,0.651039606212422
"296","May","2012",2012-05-01,"New Issue Trades",149602,0.182137604581625,54360910819,0.348960393787578
"297","November","2012",2012-11-01,"Other Bond Trades",635877,0.839919478937851,100788129926,0.664892442090594
"298","November","2012",2012-11-01,"New Issue Trades",121192,0.160080521062149,50797485349,0.335107557909406
"299","October","2012",2012-10-01,"Other Bond Trades",595776,0.825438609859941,86945538933,0.633451831132742
"300","October","2012",2012-10-01,"New Issue Trades",125993,0.174561390140059,50311209978,0.366548168867258
"301","September","2012",2012-09-01,"Other Bond Trades",576561,0.837879785327828,82652420590,0.683314153852919
"302","September","2012",2012-09-01,"New Issue Trades",111558,0.162120214672172,38305736246,0.316685846147081
"303","April","2013",2013-04-01,"Other Bond Trades",735887,0.86451468138447,98596705978,0.649167602400714
"304","April","2013",2013-04-01,"New Issue Trades",115327,0.13548531861553,53285035522,0.350832397599286
"305","August","2013",2013-08-01,"Other Bond Trades",876388,0.881689599562167,128303060179,0.804480874779683
"306","August","2013",2013-08-01,"New Issue Trades",117599,0.118310400437833,31182471673,0.195519125220317
"307","December","2013",2013-12-01,"Other Bond Trades",770140,0.891489558735009,100687506733,0.749741349875484
"308","December","2013",2013-12-01,"New Issue Trades",93740,0.108510441264991,33608816592,0.250258650124516
"309","February","2013",2013-02-01,"Other Bond Trades",638019,0.865274764023001,90299422437,0.721540101866984
"310","February","2013",2013-02-01,"New Issue Trades",99341,0.134725235976999,34848746325,0.278459898133016
"311","January","2013",2013-01-01,"Other Bond Trades",734924,0.89635153298061,103816934664,0.739299169740779
"312","January","2013",2013-01-01,"New Issue Trades",84982,0.10364846701939,36609213387,0.260700830259221
"313","July","2013",2013-07-01,"Other Bond Trades",861057,0.884547030954015,125588844146,0.759580967630416
"314","July","2013",2013-07-01,"New Issue Trades",112387,0.115452969045985,39750796390,0.240419032369584
"315","June","2013",2013-06-01,"Other Bond Trades",844647,0.87691574560684,133525447121,0.78253747468058
"316","June","2013",2013-06-01,"New Issue Trades",118555,0.123084254393159,37105930214,0.21746252531942
"317","March","2013",2013-03-01,"Other Bond Trades",659387,0.846841235328642,87961646579,0.658666937074765
"318","March","2013",2013-03-01,"New Issue Trades",119256,0.153158764671358,45583308584,0.341333062925235
"319","May","2013",2013-05-01,"Other Bond Trades",710206,0.859870814642621,96606982929,0.706743112489767
"320","May","2013",2013-05-01,"New Issue Trades",115739,0.140129185357379,40086224577,0.293256887510233
"321","November","2013",2013-11-01,"Other Bond Trades",653984,0.864403038437798,92067892787,0.735267722059149
"322","November","2013",2013-11-01,"New Issue Trades",102589,0.135596961562202,33148936437,0.264732277940851
"323","October","2013",2013-10-01,"Other Bond Trades",789797,0.882689474966527,124428261332,0.785642155012535
"324","October","2013",2013-10-01,"New Issue Trades",104965,0.117310525033473,33949519873,0.214357844987465
"325","September","2013",2013-09-01,"Other Bond Trades",811781,0.909587079482606,141101962708,0.847015461913057
"326","September","2013",2013-09-01,"New Issue Trades",80691,0.0904129205173944,25485271000,0.152984538086943
"327","April","2014",2014-04-01,"Other Bond Trades",632091,0.857246897674103,105589116373,0.745256428337845
"328","April","2014",2014-04-01,"New Issue Trades",105259,0.142753102325897,36092474497,0.254743571662155
"329","August","2014",2014-08-01,"Other Bond Trades",587309,0.849654168710117,90119357559,0.717190812342722
"330","August","2014",2014-08-01,"New Issue Trades",103924,0.150345831289883,35536682658,0.282809187657278
"331","December","2014",2014-12-01,"Other Bond Trades",568427,0.817188023387374,77457082918,0.598070620511327
"332","December","2014",2014-12-01,"New Issue Trades",127162,0.182811976612626,52054516986,0.401929379488673
"333","February","2014",2014-02-01,"Other Bond Trades",641087,0.880363687797563,99992327466,0.806375070277788
"334","February","2014",2014-02-01,"New Issue Trades",87120,0.119636312202437,24009928000,0.193624929722212
"335","January","2014",2014-01-01,"Other Bond Trades",772768,0.913574496407853,133700895368,0.830488864614172
"336","January","2014",2014-01-01,"New Issue Trades",73105,0.0864255035921468,27289698323,0.169511135385828
"337","July","2014",2014-07-01,"Other Bond Trades",624131,0.846448037778378,109538409804,0.757837685929686
"338","July","2014",2014-07-01,"New Issue Trades",113222,0.153551962221622,35002316842,0.242162314070314
"339","June","2014",2014-06-01,"Other Bond Trades",596045,0.819761076941697,88975488565,0.670946976232312
"340","June","2014",2014-06-01,"New Issue Trades",131051,0.180238923058303,43636314926,0.329053023767688
"341","March","2014",2014-03-01,"Other Bond Trades",654108,0.86035823926637,113123151781,0.724041939790835
"342","March","2014",2014-03-01,"New Issue Trades",106166,0.13964176073363,43115244870,0.275958060209165
"343","May","2014",2014-05-01,"Other Bond Trades",609179,0.858522169153864,105404999548,0.752127347215446
"344","May","2014",2014-05-01,"New Issue Trades",100388,0.141477830846136,34737490867,0.247872652784554
"345","November","2014",2014-11-01,"Other Bond Trades",486327,0.801334989849991,62672834986,0.608666894080004
"346","November","2014",2014-11-01,"New Issue Trades",120569,0.198665010150009,40294544373,0.391333105919996
"347","October","2014",2014-10-01,"Other Bond Trades",621562,0.849930740630841,98621711920,0.653845639844511
"348","October","2014",2014-10-01,"New Issue Trades",109747,0.150069259369159,52211613119,0.346154360155489
"349","September","2014",2014-09-01,"Other Bond Trades",591953,0.85214045310984,84208066668,0.717051975539104
"350","September","2014",2014-09-01,"New Issue Trades",102713,0.14785954689016,33228422653,0.282948024460896
"351","April","2015",2015-04-01,"Other Bond Trades",640114,0.791149112464065,85583791900,0.614001863052295
"352","April","2015",2015-04-01,"New Issue Trades",168980,0.208850887535935,53803068385,0.385998136947705
"353","August","2015",2015-08-01,"Other Bond Trades",597321,0.794154600098119,87923601397,0.656049360063138
"354","August","2015",2015-08-01,"New Issue Trades",154826,0.205845399901881,46096194596,0.343950639936862
"355","December","2015",2015-12-01,"Other Bond Trades",560688,0.814034150385393,86061519154,0.711464834489609
"356","December","2015",2015-12-01,"New Issue Trades",128089,0.185965849614607,34902321899,0.288535165510391
"357","February","2015",2015-02-01,"Other Bond Trades",560012,0.813774583458061,84148681635,0.655484322976017
"358","February","2015",2015-02-01,"New Issue Trades",128154,0.186225416541939,44227663436,0.344515677023983
"359","January","2015",2015-01-01,"Other Bond Trades",611617,0.877081504935956,103629098643,0.716308352447656
"360","January","2015",2015-01-01,"New Issue Trades",85715,0.122918495064044,41041975328,0.283691647552344
"361","July","2015",2015-07-01,"Other Bond Trades",631184,0.789949663211592,91840510497,0.666311343885467
"362","July","2015",2015-07-01,"New Issue Trades",167834,0.210050336788408,45993718711,0.333688656114533
"363","June","2015",2015-06-01,"Other Bond Trades",683568,0.779802667378515,104510418430,0.681033155118024
"364","June","2015",2015-06-01,"New Issue Trades",193023,0.220197332621485,48948216652,0.318966844881976
"365","March","2015",2015-03-01,"Other Bond Trades",633042,0.788180320704609,97061183308,0.619602510182331
"366","March","2015",2015-03-01,"New Issue Trades",170127,0.211819679295391,59589543106,0.380397489817669
"367","May","2015",2015-05-01,"Other Bond Trades",633146,0.783528654695757,86544159737,0.638749630650363
"368","May","2015",2015-05-01,"New Issue Trades",174924,0.216471345304243,48945796866,0.361250369349637
"369","November","2015",2015-11-01,"Other Bond Trades",517373,0.780439717916808,74844522461,0.662233541828521
"370","November","2015",2015-11-01,"New Issue Trades",145552,0.219560282083192,38173797714,0.337766458171479
"371","October","2015",2015-10-01,"Other Bond Trades",582663,0.794822616574338,90296647236,0.631116234450978
"372","October","2015",2015-10-01,"New Issue Trades",150410,0.205177383425662,52777864727,0.368883765549022
"373","September","2015",2015-09-01,"Other Bond Trades",594436,0.814428653438026,87810999450,0.71895061624831
"374","September","2015",2015-09-01,"New Issue Trades",135445,0.185571346561974,34326735000,0.28104938375169
"375","April","2016",2016-04-01,"Other Bond Trades",590593,0.786978850192416,90929994416,0.624870937684525
"376","April","2016",2016-04-01,"New Issue Trades",159863,0.213021149807584,54588046082,0.375129062315475
"377","February","2016",2016-02-01,"Other Bond Trades",550053,0.817391524020822,80095937788,0.665585456887598
"378","February","2016",2016-02-01,"New Issue Trades",122884,0.182608475979178,40243136570,0.334414543112402
"379","January","2016",2016-01-01,"Other Bond Trades",596450,0.858510255487585,101055652117,0.758586211598978
"380","January","2016",2016-01-01,"New Issue Trades",98300,0.141489744512415,32160125565,0.241413788401022
"381","March","2016",2016-03-01,"Other Bond Trades",647434,0.763643783718752,96014148005,0.594345105636659
"382","March","2016",2016-03-01,"New Issue Trades",200388,0.236356216281248,65531975778,0.405654894363341
